date,location,eff_population,cases,deaths,death_per_100case,death_per_10Kpeople,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used,total_boosters,total_boosters_per_hundred
7/1/2020,South Dakota,567312,6826,93,1.36,0.023972699,,,,,,,,,,,,,,
7/1/2020,Tennessee,4512196,44360,602,1.36,0.003014053,,,,,,,,,,,,,,
7/1/2020,Texas,18723207,174826,2518,1.44,0.000769099,,,,,,,,,,,,,,
7/1/2020,Utah,2098856,22864,173,0.76,0.00362102,,,,,,,,,,,,,,
7/1/2020,Vermont,336716,1210,56,4.63,0.137504603,,,,,,,,,,,,,,
7/1/2020,Virgin Islands,68911,92,6,6.52,0.94614793,,,,,,,,,,,,,,
7/1/2020,Virginia,5601177,63203,1786,2.83,0.005052509,,,,,,,,,,,,,,
7/1/2020,Washington,4701339,35258,1340,3.8,0.008082804,,,,,,,,,,,,,,
7/1/2020,West Virginia,1119779,2979,93,3.12,0.027862641,,,,,,,,,,,,,,
7/1/2020,Wisconsin,3856160,32307,794,2.46,0.006379403,,,,,,,,,,,,,,
7/1/2020,Wyoming,379786,1514,20,1.32,0.034756415,,,,,,,,,,,,,,
7/2/2020,Alabama,3239072,40111,985,2.46,0.007594768,,,,,,,,,,,,,,
7/2/2020,Alaska,474571,1224,12,0.98,0.020650229,,,,,,,,,,,,,,
7/2/2020,Arizona,4798392,87495,1766,2.02,0.004209744,,,,,,,,,,,,,,
7/2/2020,Arkansas,1993732,22075,279,1.26,0.006319806,,,,,,,,,,,,,,
7/2/2020,California,23566950,248198,6263,2.52,0.001069294,,,,,,,,,,,,,,
7/2/2020,Colorado,3804641,33335,1701,5.1,0.013404681,,,,,,,,,,,,,,
7/2/2020,Connecticut,2344611,46646,4326,9.27,0.039537476,,,,,,,,,,,,,,
7/2/2020,Delaware,630196,11731,510,4.35,0.069026144,,,,,,,,,,,,,,
7/2/2020,District of Columbia,446234,10390,554,5.33,0.119444058,,,,,,,,,,,,,,
7/2/2020,Florida,14094013,169098,3616,2.14,0.001518375,,,,,,,,,,,,,,
7/2/2020,Georgia,6842396,82475,2801,3.4,0.00496902,,,,,,,,,,,,,,
7/2/2020,Guam,107187,1249,6,0.48,0.04478155,,,,,,,,,,,,,,
7/2/2020,Hawaii,865578,929,18,1.94,0.022412769,,,,,,,,,,,,,,
7/2/2020,Idaho,1172654,6688,93,1.39,0.011853454,,,,,,,,,,,,,,
7/2/2020,Illinois,5587526,146407,7197,4.92,0.008805328,,,,,,,,,,,,,,
7/2/2020,Indiana,4457701,47553,2662,5.6,0.012562529,,,,,,,,,,,,,,
7/2/2020,Iowa,2084684,30259,719,2.38,0.011416598,,,,,,,,,,,,,,
7/2/2020,Kansas,1929097,15226,282,1.85,0.009589979,,,,,,,,,,,,,,
7/2/2020,Kentucky,2597776,16370,605,3.7,0.014242952,,,,,,,,,,,,,,
7/2/2020,Louisiana,3064527,61669,3255,5.28,0.017229413,,,,,,,,,,,,,,
7/2/2020,Maine,839816,3328,105,3.16,0.03762729,,,,,,,,,,,,,,
7/2/2020,Maryland,3886300,69015,3212,4.65,0.011965108,,,,,,,,,,,,,,
7/2/2020,Massachusetts,4481410,109338,8132,7.44,0.016601918,,,,,,,,,,,,,,
7/2/2020,Michigan,6478925,71853,6216,8.65,0.01335098,,,,,,,,,,,,,,
7/2/2020,Minnesota,3734798,37247,1495,4.01,0.010736859,,,,,,,,,,,,,,
7/2/2020,Mississippi,1970989,28770,1092,3.8,0.019279661,,,,,,,,,,,,,,
